guided_quarter,reported_quarter,issued_on,guide_low_musd,guide_high_musd,guide_sentence,accession,url,verified,notes
2023Q3,2023Q2,2023-08-08,521.0,525.0,"Third Quarter and Full Year 2023 Outlook: Based on information as of today, August 8, 2023, Datadog is providing the following guidance: • Third Quarter 2023 Outlook: ◦ Revenue between $521 million and $525 million.",0001561550-23-000035,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000035/0001561550-23-000035-index.htm,,
2023Q4,2023Q3,2023-11-07,564.0,568.0,"Fourth Quarter and Full Year 2023 Outlook: Based on information as of today, November 7, 2023, Datadog is providing the following guidance: • Fourth Quarter 2023 Outlook: ◦ Revenue between $564 million and $568 million.",0001561550-23-000053,https://www.sec.gov/Archives/edgar/data/1561550/000156155023000053/0001561550-23-000053-index.htm,,
2024Q1,2023Q4,2024-02-13,587.0,591.0,"First Quarter and Fiscal Year 2024 Outlook: Based on information as of today, February 13, 2024, Datadog is providing the following guidance: • First Quarter 2024 Outlook: ◦ Revenue between $587 million and $591 million.",0001561550-24-000004,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000004/0001561550-24-000004-index.htm,,
2024Q2,2024Q1,2024-05-07,620.0,624.0,"Second Quarter and Full Year 2024 Outlook: Based on information as of today, May 7, 2024, Datadog is providing the following guidance: • Second Quarter 2024 Outlook: ◦ Revenue between $620 million and $624 million.",0001561550-24-000048,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000048/0001561550-24-000048-index.htm,,
2024Q3,2024Q2,2024-08-08,660.0,664.0,"Third Quarter and Full Year 2024 Outlook: Based on information as of today, August 8, 2024, Datadog is providing the following guidance: • Third Quarter 2024 Outlook: ◦ Revenue between $660 million and $664 million.",0001561550-24-000109,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000109/0001561550-24-000109-index.htm,,
2024Q4,2024Q3,2024-11-07,709.0,713.0,"Fourth Quarter and Full Year 2024 Outlook: Based on information as of today, November 7, 2024, Datadog is providing the following guidance: • Fourth Quarter 2024 Outlook: ◦ Revenue between $709 million and $713 million.",0001561550-24-000171,https://www.sec.gov/Archives/edgar/data/1561550/000156155024000171/0001561550-24-000171-index.htm,,
2025Q1,2024Q4,2025-02-13,737.0,741.0,"First Quarter and Fiscal Year 2025 Outlook: Based on information as of today, February 13, 2025, Datadog is providing the following guidance: • First Quarter 2025 Outlook: ◦ Revenue between $737 million and $741 million.",0001561550-25-000017,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000017/0001561550-25-000017-index.htm,,
2025Q2,2025Q1,2025-05-06,787.0,791.0,"Second Quarter and Full Year 2025 Outlook: Based on information as of today, May 6, 2025, Datadog is providing the following guidance: • Second Quarter 2025 Outlook: ◦ Revenue between $787 million and $791 million.",0001561550-25-000118,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000118/0001561550-25-000118-index.htm,,
2025Q3,2025Q2,2025-08-07,847.0,851.0,"Third Quarter and Full Year 2025 Outlook: Based on information as of today, August 7, 2025, Datadog is providing the following guidance: • Third Quarter 2025 Outlook: ◦ Revenue between $847 million and $851 million.",0001561550-25-000216,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000216/0001561550-25-000216-index.htm,,
2025Q4,2025Q3,2025-11-06,912.0,916.0,"Fourth Quarter and Full Year 2025 Outlook: Based on information as of today, November 6, 2025, Datadog is providing the following guidance: • Fourth Quarter 2025 Outlook: ◦ Revenue between $912 million and $916 million.",0001561550-25-000310,https://www.sec.gov/Archives/edgar/data/1561550/000156155025000310/0001561550-25-000310-index.htm,,
2026Q1,2025Q4,2026-02-10,951.0,961.0,"First Quarter and Fiscal Year 2026 Outlook: Based on information as of today, February 10, 2026, Datadog is providing the following guidance: • First Quarter 2026 Outlook: ◦ Revenue between $951 million and $961 million.",0001628280-26-006645,https://www.sec.gov/Archives/edgar/data/1561550/000162828026006645/0001628280-26-006645-index.htm,,
2026Q2,2026Q1,2026-05-07,1070.0,1080.0,"Second Quarter and Full Year 2026 Outlook: Based on information as of today, May 7, 2026, Datadog is providing the following guidance: • Second Quarter 2026 Outlook: ◦ Revenue between $1.07 billion and $1.08 billion.",0001628280-26-031677,https://www.sec.gov/Archives/edgar/data/1561550/000162828026031677/0001628280-26-031677-index.htm,,
2026Q3,2026Q2,2026-08-06,1135.0,1145.0,"Third Quarter and Full Year 2026 Outlook: Based on information as of today, August 6, 2026, Datadog is providing the following guidance: • Third Quarter 2026 Outlook: ◦ Revenue between $1.135 billion and $1.145 billion.",0001628280-26-053829,https://www.sec.gov/Archives/edgar/data/1561550/000162828026053829/0001628280-26-053829-index.htm,,
