quarter,revenue_musd,rev_yoy,beat_vs_guide,guide_mid,amzn_reported,ctrl_abs_d30,ctrl_abs_d45,ctrl_abs_d60,ctrl_abs_full,ctrl_rel_plc_d30,ctrl_rel_plc_d45,ctrl_rel_plc_d60,ctrl_rel_plc_full,dd_abs_all_d30,dd_abs_all_d45,dd_abs_all_d60,dd_abs_all_full,dd_abs_d30,dd_abs_d45,dd_abs_d60,dd_abs_full,dd_rel_all_d30,dd_rel_all_d45,dd_rel_all_d60,dd_rel_all_full,dd_rel_d30,dd_rel_d45,dd_rel_d60,dd_rel_full,dd_rel_plc_d30,dd_rel_plc_d45,dd_rel_plc_d60,dd_rel_plc_full,dd_rel_wide_d30,dd_rel_wide_d45,dd_rel_wide_d60,dd_rel_wide_full,googl_reported,guide_high_musd,guide_low_musd,guide_mid_musd,msft_reported,plc_abs_d30,plc_abs_d45,plc_abs_d60,plc_abs_full,plc_rel_d30,plc_rel_d45,plc_rel_d60,plc_rel_full,rev_musd_lag4,rev_yoy_lag1,rev_yoy_lag2,rev_yoy_lag4
2019Q3,95.864,0.8769628382347183,,,1.0,0.1868664513479547,0.2209806840113053,0.2491833380734345,0.2438495402939864,-0.3303809490558915,-0.2954306277091341,-0.2759001242629839,-0.2515288578906585,2.4069970549106365,2.364882197646377,2.33404429183056,2.264239295259733,2.4069970549106365,2.364882197646377,2.33404429183056,2.264239295259733,2.2201306035626818,2.143901513635072,2.0848609537571257,2.0203897549657466,2.2201306035626818,2.143901513635072,2.0848609537571257,2.0203897549657466,1.8897496545067904,1.8484708859259376,1.8089608294941415,1.768860897075088,1.622669041994893,1.544084824474503,1.4775641479151105,1.3814746534479063,1.0,,,,1.0,0.5172474004038463,0.5164113117204394,0.5250834623364184,0.4953783981846449,0.3303809490558915,0.2954306277091341,0.2759001242629839,0.2515288578906585,,,,
2019Q4,113.644,,0.11415686274509818,102.0,1.0,-0.1678695590044494,-0.0893401724960138,-0.0333461452328336,0.0529343216592828,-0.5229247118678284,-0.4573694868324924,-0.4076716301333292,-0.3183101814657689,1.987743407279149,1.9165760147681008,1.8605415632381617,1.739178826466663,1.987743407279149,1.9165760147681008,1.8605415632381617,1.7389830343397144,2.1556129662835986,2.0059161872641145,1.893887708470995,1.6862445048073802,2.1556129662835986,2.0059161872641145,1.893887708470995,1.6860487126804315,1.63268825441577,1.548546700431622,1.486216078337666,1.3677385312146626,1.475418212995839,1.331632405727591,1.2207946855801293,1.0208704930938255,1.0,103.0,101.0,102.0,1.0,0.3550551528633789,0.3680293143364785,0.3743254849004955,0.3712445031250517,0.5229247118678284,0.4573694868324924,0.4076716301333292,0.3183101814657689,,0.8769628382347183,,
2020Q1,131.248,0.8736331192005711,0.1122711864406778,118.0,1.0,0.4016516938107539,0.4149720650230559,0.4316741522395837,0.4704431745940791,0.0797179880675056,0.0796340351172499,0.1091818217439986,0.0938260675309141,1.5046538654819344,1.496520683515282,1.4541958393135666,1.4656072262927289,1.4882047039329755,1.4640139342354352,1.410583439256829,1.393346131323483,1.1030021716711804,1.081548618492226,1.0225216870739828,0.9951640516986496,1.0865530101222216,1.0490418692123793,0.9789092870172452,0.9229029567294038,1.1662709981897272,1.1286759043296293,1.088091108761244,1.016729024260318,0.5603914771929688,0.5167204075303129,0.4592134101975968,0.4171730320591784,1.0,119.0,117.0,118.0,1.0,0.3219337057432483,0.3353380299058059,0.3224923304955851,0.376617107063165,-0.0797179880675056,-0.0796340351172499,-0.1091818217439986,-0.0938260675309141,,,0.8769628382347183,
2020Q2,140.012,0.6823916752781716,0.03712592592592601,135.0,1.0,0.6728234018201338,0.7034847362390444,0.6825033909288436,0.707840630731079,0.1813255593879734,0.2336227296287489,0.2295722557005142,0.2304685695436443,1.5314436030355625,1.5000700595753165,1.4565801088686854,1.424496508203319,1.3751867391138273,1.334402929125483,1.282214290706344,1.2312144519357968,0.8586202012154285,0.7965853233362719,0.7740767179398418,0.71665587747224,0.7023633372936935,0.6309181928864387,0.5997108997775005,0.5233738212047179,0.883688896681667,0.8645409225151877,0.8292831554780147,0.7538423907483622,0.3129021610044304,0.2375259375446585,0.2114776294264402,0.1311724169384192,1.0,136.0,134.0,135.0,1.0,0.4914978424321603,0.4698620066102954,0.4529311352283294,0.4773720611874346,-0.1813255593879734,-0.2336227296287489,-0.2295722557005142,-0.2304685695436443,,0.8736331192005711,,
2020Q3,154.675,0.6134836852207293,0.0741319444444446,144.0,1.0,0.7413052758719356,0.7011535847253718,0.658537347718223,0.6585240055001478,0.2181547138841555,0.1843819062715894,0.15533465912441,0.1183109340516104,1.4303793668534688,1.51040590550358,1.543053453363788,1.5589249949363246,1.2030439242434774,1.2925587183714755,1.329705189966731,1.3362621031816315,0.6890740909815332,0.8092523207782083,0.8845161056455648,0.9004009894361769,0.4617386483715417,0.5914051336461039,0.6711678422485079,0.677738097681484,0.6798933622556973,0.7757870399176934,0.8265025013729179,0.7960490317330944,0.1110728330355605,0.2123402752935472,0.2676495238285667,0.2647053825303374,1.0,145.0,143.0,144.0,1.0,0.5231505619877801,0.5167716784537824,0.503202688593813,0.5402130714485374,-0.2181547138841555,-0.1843819062715894,-0.15533465912441,-0.1183109340516104,95.864,0.6823916752781716,0.8736331192005711,0.8769628382347183
2020Q4,177.531,0.5621678223223399,0.08914723926380375,163.0,1.0,0.637640413351118,0.5800527118717032,0.5393723447556944,0.5627813577961813,0.0144589853970309,-0.0242514303151129,-0.0599664068064598,-0.0805635571864531,1.4813670121418898,1.403560626635031,1.3563368664604631,1.3908751434504865,1.1884072536115935,1.1024167484897929,1.0515976256543151,1.0944222902871985,0.8437265987907718,0.8235079147633275,0.8169645217047687,0.8280937856543051,0.5507668402604757,0.5223640366180895,0.5122252808986207,0.5316409324910172,0.5652258256575067,0.4981126063029766,0.4522588740921609,0.451077375304564,0.1385069317565879,0.1127646661796895,0.0990121175868683,0.1161438893122408,1.0,164.0,162.0,163.0,1.0,0.623181427954087,0.604304142186816,0.5993387515621542,0.6433449149826345,-0.0144589853970309,0.0242514303151129,0.0599664068064598,0.0805635571864531,113.644,0.6134836852207293,0.6823916752781716,
2021Q1,198.549,0.5127773375594296,0.06746774193548388,186.0,1.0,0.4532456006379597,0.4488132458341063,0.4644475429945629,0.4152261248771651,-0.1821251468256868,-0.1804556994948463,-0.1905991048103317,-0.2340878786063811,1.3484094706103882,1.3275449019325212,1.3702534059237923,1.4034694346139671,1.0921568238821229,1.0764543979913164,1.1191924785188174,1.1571145246626422,0.8951638699724285,0.8787316560984149,0.9058058629292294,0.9882433097368022,0.6389112232441629,0.6276411521572101,0.6547449355242545,0.741888399785477,0.4567860764184761,0.4471854526623637,0.4641458307139228,0.5078005211790959,-0.0013483148481689,-0.0240501316177983,-0.0133960592902226,0.0390196032771044,1.0,187.0,185.0,186.0,1.0,0.6353707474636465,0.6292689453289526,0.6550466478048946,0.6493140034835463,0.1821251468256868,0.1804556994948463,0.1905991048103317,0.2340878786063811,131.248,0.5621678223223399,0.6134836852207293,0.8736331192005711
2021Q2,233.549,0.6680641659286346,0.10164622641509435,212.0,1.0,-0.0211085117334413,-0.0458137118918617,-0.0298025942385375,-0.0149552032610564,-0.5982114641718539,-0.6185139808612004,-0.6184240078285104,-0.6118379114462478,1.2799239121427082,1.243637598252212,1.2631872627649088,1.2624450889678602,1.0123562452949493,1.0012834038985456,1.0399987899333176,1.0618717672647726,1.3010324238761497,1.2894513101440737,1.2929898570034464,1.2774002922289167,1.0334647570283906,1.0470971157904074,1.0698013841718552,1.076826970525829,0.4352532928565367,0.4285831349292071,0.4513773763433448,0.4649890590795813,0.0159748162918766,0.0232212093459427,0.0449682251226732,0.079163969899298,1.0,213.0,211.0,212.0,1.0,0.5771029524384126,0.5727002689693386,0.5886214135899728,0.5968827081851913,0.5982114641718539,0.6185139808612004,0.6184240078285104,0.6118379114462478,140.012,0.5127773375594296,0.5621678223223399,0.6823916752781716
2021Q3,270.488,0.7487506061095845,0.09509311740890691,247.0,1.0,-0.0089290674220237,-0.0251951569929111,-0.016186083201779,0.0178040522507458,-0.5130229369487047,-0.513895919194546,-0.5034887054981336,-0.4804802035754001,1.1923283518499623,1.1652401163363564,1.1459518178816983,1.185407431433264,1.0299641219944284,1.006002064709607,0.9854956710128296,1.0244935578129777,1.201257419271986,1.1904352733292676,1.1621379010834776,1.167603379182518,1.038893189416452,1.0311972217025185,1.0016817542146086,1.0066895055622318,0.5258702524677474,0.5173013025079722,0.4981930487164749,0.5262093019868317,0.1762607549563899,0.1803273500920763,0.1792285255605126,0.217036883737741,1.0,248.0,246.0,247.0,1.0,0.504093869526681,0.4887007622016348,0.4873026222963545,0.498284255826146,0.5130229369487047,0.513895919194546,0.5034887054981336,0.4804802035754001,154.675,0.6680641659286346,0.5127773375594296,0.6134836852207293
2021Q4,326.198,0.8374143107400962,0.12095532646048102,291.0,1.0,-0.0199841235012634,0.0191716807051012,0.0773584355684438,0.098381394285294,-0.4514888285486726,-0.419825047658831,-0.3763307285765069,-0.3799861098520658,1.1928457463627264,1.2633283389972636,1.3187184213859489,1.3306406337889245,1.0162339905704751,1.0746817605532044,1.1277237292631117,1.095546857186168,1.21282986986399,1.2441566582921624,1.241359985817505,1.2322592395036305,1.0362181140717386,1.0555100798481032,1.050365293694668,0.997165462900874,0.5847292855230659,0.6356850321892722,0.674034565118161,0.6171793530488081,0.3213226313387149,0.3589795258495734,0.3784123821175189,0.3469699455470305,1.0,292.0,290.0,291.0,1.0,0.4315047050474092,0.4389967283639322,0.4536891641449507,0.4783675041373598,0.4514888285486726,0.419825047658831,0.3763307285765069,0.3799861098520658,177.531,0.7487506061095845,0.6680641659286346,0.5621678223223399
2022Q1,363.03,0.828415151927232,0.07884101040118852,336.5,1.0,0.2085543570442709,0.243852054977518,0.239479504845935,0.2423541899582133,-0.3697295581755888,-0.3554885067162221,-0.3490873437124406,-0.3191543439489486,1.2934254856958844,1.3055966560969434,1.267378751452746,1.225850484099496,0.9583008096984412,0.9777422392686574,0.9449918130772764,0.9179641830634928,1.0848711286516135,1.0617446011194254,1.027899246606811,0.9834962941412826,0.7497464526541702,0.7338901842911394,0.7055123082313415,0.6756099931052795,0.3800168944785813,0.3784016775749173,0.3564249645189008,0.3564556491563309,0.3448715018565327,0.3550160648782139,0.3411475425382093,0.3303179309906952,1.0,339.0,334.0,336.5,1.0,0.5782839152198598,0.5993405616937402,0.5885668485583757,0.5615085339071619,0.3697295581755888,0.3554885067162221,0.3490873437124406,0.3191543439489486,198.549,0.8374143107400962,0.7487506061095845,0.5127773375594296
2022Q2,406.138,0.7389841104008152,0.0744391534391533,378.0,1.0,0.2820732394093035,0.2838187578968014,0.30737530028793,0.3232979925268022,-0.1672484782396814,-0.1524492953600305,-0.1488117408638629,-0.1469469066111113,1.1984589426566945,1.1968743477934345,1.2003008503840462,1.1702416134656417,1.0322596764261025,0.9929560793317568,0.9671694461753956,0.9154489379823688,0.916385703247391,0.9130555898966328,0.8929255500961162,0.8469436209388395,0.750186437016799,0.7091373214349552,0.6597941458874654,0.5921509454555665,0.5829379587771175,0.5566880260749247,0.5109824050236025,0.4452040388444551,0.4009795379557967,0.4009366441631226,0.3701717648015279,0.3306842908156611,1.0,380.0,376.0,378.0,1.0,0.449321717648985,0.4362680532568319,0.456187041151793,0.4702448991379135,0.1672484782396814,0.1524492953600305,0.1488117408638629,0.1469469066111113,233.549,0.828415151927232,0.8374143107400962,0.6680641659286346
2022Q3,436.533,0.6138719647452013,0.05954611650485431,412.0,1.0,0.288812965790699,0.2967610873701858,0.3068879322286619,0.2833879491849096,-0.1805306195040916,-0.1867937042544554,-0.1984141949366709,-0.2149069542425579,0.8571169198423867,0.8005321702750656,0.7931432375990219,0.7424459046158383,0.5668861856151715,0.4918857064314164,0.4790514839238682,0.4399118450671224,0.5683039540516877,0.5037710829048798,0.48625530537036,0.4590579554309286,0.2780732198244724,0.1951246190612305,0.1721635516952062,0.1565238958822128,0.0975426003203807,0.0083309148067751,-0.0262506432414646,-0.058383058360345,-0.0364149589980407,-0.1119939555927995,-0.1433686271585124,-0.149373848758529,1.0,414.0,410.0,412.0,1.0,0.4693435852947907,0.4835547916246412,0.5053021271653328,0.4982949034274675,0.1805306195040916,0.1867937042544554,0.1984141949366709,0.2149069542425579,270.488,0.7389841104008152,0.828415151927232,0.7487506061095845
