target,feature,role,vs_baseline,n_oos,rmse_ratio,boot_lo,boot_hi,ci_covers_1,dm_p,hit
rev_yoy,hedge_rate,signal,AR(1),13,1.4245822942366966,0.9036276781243074,1.6050630466539608,True,0.3168376254951435,0.46153846153846156
rev_yoy,hedge_rate,signal,guidance + auto-window beat,13,2.2072066294314827,2.0945693385907562,3.667133663343281,False,0.20341840140256462,0.46153846153846156
rev_yoy,net_tone,signal,AR(1),13,1.037925294253661,0.8180979232491289,1.680481137144071,True,0.8295037056110925,0.6153846153846154
rev_yoy,net_tone,signal,guidance + auto-window beat,13,1.608131449899,1.1052791039687642,5.140249461123844,False,0.029722368106064323,0.6153846153846154
rev_yoy,plc_hedge_rate,placebo,AR(1),13,0.8852426894218168,0.5825721667372429,1.9583364929140699,True,0.6897442659645225,0.7692307692307693
rev_yoy,plc_hedge_rate,placebo,guidance + auto-window beat,13,1.3715694352318992,0.8733779784967555,4.779692183554924,True,0.2636754941678925,0.7692307692307693
rev_yoy,plc_net_tone,placebo,AR(1),13,0.9639470943984562,0.507982542134304,1.80409347612366,True,0.9175072175179235,0.6153846153846154
rev_yoy,plc_net_tone,placebo,guidance + auto-window beat,13,1.4935117653680305,0.6824304987071697,5.584145460592952,True,0.35889531487183435,0.6153846153846154
beat_vs_guide,hedge_rate,signal,AR(1),14,1.031766223404598,0.958877942553713,1.166583320030997,True,0.41401952807278386,0.35714285714285715
beat_vs_guide,hedge_rate,signal,random walk,14,1.59257141216102,0.8334531172722178,2.5429144929933094,True,0.20244224010159795,0.35714285714285715
beat_vs_guide,net_tone,signal,AR(1),14,1.0051243603020357,0.8911076606218029,1.090372462251109,True,0.9034408934956377,0.42857142857142855
beat_vs_guide,net_tone,signal,random walk,14,1.5514486572370976,0.7503599535876926,2.4639316204422874,True,0.24681028454151477,0.42857142857142855
beat_vs_guide,plc_hedge_rate,placebo,AR(1),14,1.1132506871126326,0.8716586385773373,1.2739161868705446,True,0.4542338467223537,0.2857142857142857
beat_vs_guide,plc_hedge_rate,placebo,random walk,14,1.7183458603770865,0.8042379821823068,2.6578468391977306,True,0.24773850152777133,0.2857142857142857
beat_vs_guide,plc_net_tone,placebo,AR(1),14,0.626911863883741,0.5330476322562242,0.8348561662257483,False,0.08805541067469891,0.5714285714285714
beat_vs_guide,plc_net_tone,placebo,random walk,14,0.9676629159959543,0.588330616414113,1.422936709207261,True,0.8848973684802814,0.5714285714285714
