target,feature,role,vs_baseline,rmse_ratio,boot_ci_lo,boot_ci_hi,ci_covers_1,dm_stat,dm_p,n_oos
rev_yoy,dd_rel_plc_d45,candidate,AR(1),1.0774924525367175,0.8357355649628241,1.930360862892341,True,0.5076450435655154,0.6209032332814763,13
rev_yoy,dd_rel_plc_d45,candidate,"ARIMA(1,1,0)",1.5163236936278703,0.7138694168133142,3.481441940942747,True,1.0748744320866976,0.3035685979662155,13
rev_yoy,ctrl_rel_plc_d45,control,AR(1),1.6220345497058932,0.8774039292238468,3.797129792147637,True,1.5201058586338847,0.15438610259222862,13
rev_yoy,ctrl_rel_plc_d45,control,"ARIMA(1,1,0)",2.282641900471453,1.7009713165653604,4.087380994123316,False,3.1426178888174174,0.008490533836402525,13
rev_yoy,dd_rel_d45,candidate,AR(1),1.3699027094946519,0.6637043398043452,3.493583113552137,True,0.8497962589021267,0.4120723329876739,13
rev_yoy,dd_rel_d45,candidate,"ARIMA(1,1,0)",1.9278241174510435,0.9570365705632252,4.391980501512844,True,1.6901317273545708,0.11679054086503493,13
rev_yoy,plc_rel_d45,control,AR(1),1.6220345497058932,0.8774039292238468,3.797129792147637,True,1.5201058586338847,0.15438610259222862,13
rev_yoy,plc_rel_d45,control,"ARIMA(1,1,0)",2.282641900471453,1.7009713165653604,4.087380994123316,False,3.1426178888174174,0.008490533836402525,13
rev_yoy,dd_abs_d45,candidate,AR(1),0.859727295269019,0.6476171171337974,1.7251925683382898,True,-0.5896104774339106,0.5663878355753169,13
rev_yoy,dd_abs_d45,candidate,"ARIMA(1,1,0)",1.2098691408983158,0.6646180721651942,2.7001917633979673,True,0.6039844892149867,0.5571000548349505,13
rev_yoy,plc_abs_d45,control,AR(1),1.2829300462093112,0.7171737448588956,2.937691671935657,True,0.7994475282256379,0.43956929037017356,13
rev_yoy,plc_abs_d45,control,"ARIMA(1,1,0)",1.8054300257550864,1.3480601401485073,3.1929029430692966,False,2.869100718294544,0.014113349985866108,13
beat_vs_guide,dd_rel_plc_d45,candidate,AR(1),0.8814263893262315,0.7322619378131889,1.1228402203906653,True,-1.205839273311962,0.24936850816611167,14
beat_vs_guide,dd_rel_plc_d45,candidate,random walk,1.3605160139215018,0.6496740917729806,2.275084609873803,True,0.9689505189820746,0.3502524772952118,14
beat_vs_guide,ctrl_rel_plc_d45,control,AR(1),1.024538357586391,0.807229601320763,1.0751354743013863,True,0.5166480281590181,0.6140780241601984,14
beat_vs_guide,ctrl_rel_plc_d45,control,random walk,1.5814149193316374,0.6795281484783282,2.555068600179304,True,1.165748077977352,0.2646595962719258,14
beat_vs_guide,dd_rel_d45,candidate,AR(1),0.8387427140269376,0.6495254389475092,1.142992490020572,True,-1.1296109552829363,0.2790530315457862,14
beat_vs_guide,dd_rel_d45,candidate,random walk,1.2946320961253652,0.6316631466274955,2.2657605589690872,True,0.8239826852747504,0.4248091966763228,14
beat_vs_guide,plc_rel_d45,control,AR(1),1.024538357586391,0.807229601320763,1.0751354743013863,True,0.5166480281590181,0.6140780241601984,14
beat_vs_guide,plc_rel_d45,control,random walk,1.5814149193316374,0.6795281484783282,2.555068600179304,True,1.165748077977352,0.2646595962719258,14
beat_vs_guide,dd_abs_d45,candidate,AR(1),0.7179009083310465,0.6043140002364188,0.8339228104079921,False,-1.970520644985715,0.07045556781109541,14
beat_vs_guide,dd_abs_d45,candidate,random walk,1.1081080553303937,0.5338881827799404,1.7837416821832517,True,0.36527497616949844,0.7207803722454811,14
beat_vs_guide,plc_abs_d45,control,AR(1),1.0497873121796737,0.6861568220913684,1.234100346856107,True,0.3849007765715295,0.7065343469288989,14
beat_vs_guide,plc_abs_d45,control,random walk,1.620387665637993,0.6987237492552696,2.4668714249309662,True,1.1225917584132084,0.28191670676868386,14
