date,package,downloads,cohort,is_imputed,impute_mode
2017-04-24,@opentelemetry/api,0.0,control,False,centered
2017-04-25,@opentelemetry/api,0.0,control,False,centered
2017-04-26,@opentelemetry/api,0.0,control,False,centered
2017-04-27,@opentelemetry/api,0.0,control,False,centered
2017-04-28,@opentelemetry/api,0.0,control,False,centered
2017-04-29,@opentelemetry/api,0.0,control,False,centered
2017-04-30,@opentelemetry/api,0.0,control,False,centered
2017-05-01,@opentelemetry/api,0.0,control,False,centered
2017-05-02,@opentelemetry/api,0.0,control,False,centered
2017-05-03,@opentelemetry/api,0.0,control,False,centered
2017-05-04,@opentelemetry/api,0.0,control,False,centered
2017-05-05,@opentelemetry/api,0.0,control,False,centered
2017-05-06,@opentelemetry/api,0.0,control,False,centered
2017-05-07,@opentelemetry/api,0.0,control,False,centered
2017-05-08,@opentelemetry/api,0.0,control,False,centered
2017-05-09,@opentelemetry/api,0.0,control,False,centered
2017-05-10,@opentelemetry/api,0.0,control,False,centered
2017-05-11,@opentelemetry/api,0.0,control,False,centered
2017-05-12,@opentelemetry/api,0.0,control,False,centered
2017-05-13,@opentelemetry/api,0.0,control,False,centered
2017-05-14,@opentelemetry/api,0.0,control,False,centered
2017-05-15,@opentelemetry/api,0.0,control,False,centered
2017-05-16,@opentelemetry/api,0.0,control,False,centered
2017-05-17,@opentelemetry/api,0.0,control,False,centered
2017-05-18,@opentelemetry/api,0.0,control,False,centered
2017-05-19,@opentelemetry/api,0.0,control,False,centered
2017-05-20,@opentelemetry/api,0.0,control,False,centered
2017-05-21,@opentelemetry/api,0.0,control,False,centered
2017-05-22,@opentelemetry/api,0.0,control,False,centered
2017-05-23,@opentelemetry/api,0.0,control,False,centered
2017-05-24,@opentelemetry/api,0.0,control,False,centered
2017-05-25,@opentelemetry/api,0.0,control,False,centered
2017-05-26,@opentelemetry/api,0.0,control,False,centered
2017-05-27,@opentelemetry/api,0.0,control,False,centered
2017-05-28,@opentelemetry/api,0.0,control,False,centered
2017-05-29,@opentelemetry/api,0.0,control,False,centered
2017-05-30,@opentelemetry/api,0.0,control,False,centered
2017-05-31,@opentelemetry/api,0.0,control,False,centered
2017-06-01,@opentelemetry/api,0.0,control,False,centered
2017-06-02,@opentelemetry/api,0.0,control,False,centered
2017-06-03,@opentelemetry/api,0.0,control,False,centered
2017-06-04,@opentelemetry/api,0.0,control,False,centered
2017-06-05,@opentelemetry/api,0.0,control,False,centered
2017-06-06,@opentelemetry/api,0.0,control,False,centered
2017-06-07,@opentelemetry/api,0.0,control,False,centered
2017-06-08,@opentelemetry/api,0.0,control,False,centered
2017-06-09,@opentelemetry/api,0.0,control,False,centered
2017-06-10,@opentelemetry/api,0.0,control,False,centered
2017-06-11,@opentelemetry/api,0.0,control,False,centered
2017-06-12,@opentelemetry/api,0.0,control,False,centered
2017-06-13,@opentelemetry/api,0.0,control,False,centered
2017-06-14,@opentelemetry/api,0.0,control,False,centered
2017-06-15,@opentelemetry/api,0.0,control,False,centered
2017-06-16,@opentelemetry/api,0.0,control,False,centered
2017-06-17,@opentelemetry/api,0.0,control,False,centered
2017-06-18,@opentelemetry/api,0.0,control,False,centered
2017-06-19,@opentelemetry/api,0.0,control,False,centered
2017-06-20,@opentelemetry/api,0.0,control,False,centered
2017-06-21,@opentelemetry/api,0.0,control,False,centered
2017-06-22,@opentelemetry/api,0.0,control,False,centered
2017-06-23,@opentelemetry/api,0.0,control,False,centered
2017-06-24,@opentelemetry/api,0.0,control,False,centered
2017-06-25,@opentelemetry/api,0.0,control,False,centered
2017-06-26,@opentelemetry/api,0.0,control,False,centered
2017-06-27,@opentelemetry/api,0.0,control,False,centered
2017-06-28,@opentelemetry/api,0.0,control,False,centered
2017-06-29,@opentelemetry/api,0.0,control,False,centered
2017-06-30,@opentelemetry/api,0.0,control,False,centered
2017-07-01,@opentelemetry/api,0.0,control,False,centered
2017-07-02,@opentelemetry/api,0.0,control,False,centered
2017-07-03,@opentelemetry/api,0.0,control,False,centered
2017-07-04,@opentelemetry/api,0.0,control,False,centered
2017-07-05,@opentelemetry/api,0.0,control,False,centered
2017-07-06,@opentelemetry/api,0.0,control,False,centered
2017-07-07,@opentelemetry/api,0.0,control,False,centered
2017-07-08,@opentelemetry/api,0.0,control,False,centered
2017-07-09,@opentelemetry/api,0.0,control,False,centered
2017-07-10,@opentelemetry/api,0.0,control,False,centered
2017-07-11,@opentelemetry/api,0.0,control,False,centered
2017-07-12,@opentelemetry/api,0.0,control,False,centered
2017-07-13,@opentelemetry/api,0.0,control,False,centered
2017-07-14,@opentelemetry/api,0.0,control,False,centered
2017-07-15,@opentelemetry/api,0.0,control,False,centered
2017-07-16,@opentelemetry/api,0.0,control,False,centered
2017-07-17,@opentelemetry/api,0.0,control,False,centered
2017-07-18,@opentelemetry/api,0.0,control,False,centered
2017-07-19,@opentelemetry/api,0.0,control,False,centered
2017-07-20,@opentelemetry/api,0.0,control,False,centered
2017-07-21,@opentelemetry/api,0.0,control,False,centered
2017-07-22,@opentelemetry/api,0.0,control,False,centered
2017-07-23,@opentelemetry/api,0.0,control,False,centered
2017-07-24,@opentelemetry/api,0.0,control,False,centered
2017-07-25,@opentelemetry/api,0.0,control,False,centered
2017-07-26,@opentelemetry/api,0.0,control,False,centered
2017-07-27,@opentelemetry/api,0.0,control,False,centered
2017-07-28,@opentelemetry/api,0.0,control,False,centered
2017-07-29,@opentelemetry/api,0.0,control,False,centered
2017-07-30,@opentelemetry/api,0.0,control,False,centered
2017-07-31,@opentelemetry/api,0.0,control,False,centered
2017-08-01,@opentelemetry/api,0.0,control,False,centered
2017-08-02,@opentelemetry/api,0.0,control,False,centered
2017-08-03,@opentelemetry/api,0.0,control,False,centered
2017-08-04,@opentelemetry/api,0.0,control,False,centered
2017-08-05,@opentelemetry/api,0.0,control,False,centered
2017-08-06,@opentelemetry/api,0.0,control,False,centered
2017-08-07,@opentelemetry/api,0.0,control,False,centered
2017-08-08,@opentelemetry/api,0.0,control,False,centered
2017-08-09,@opentelemetry/api,0.0,control,False,centered
2017-08-10,@opentelemetry/api,0.0,control,False,centered
2017-08-11,@opentelemetry/api,0.0,control,False,centered
2017-08-12,@opentelemetry/api,0.0,control,False,centered
2017-08-13,@opentelemetry/api,0.0,control,False,centered
2017-08-14,@opentelemetry/api,0.0,control,False,centered
2017-08-15,@opentelemetry/api,0.0,control,False,centered
2017-08-16,@opentelemetry/api,0.0,control,False,centered
2017-08-17,@opentelemetry/api,0.0,control,False,centered
2017-08-18,@opentelemetry/api,0.0,control,False,centered
2017-08-19,@opentelemetry/api,0.0,control,False,centered
