quarter,weekday_mean,weekend_mean,weekday_weekend_ratio,share_days_in_window,share_volume_in_window,concentration_index,downloads_per_musd
2019Q1,10616.421875,1657.576923076923,6.404783830661067,0.7444444444444445,0.8293138469248308,1.1140036749736533,
2019Q2,15350.276923076923,2465.8076923076924,6.225253076695107,0.5604395604395604,0.5879243645057768,1.0490415131377586,
2019Q3,25618.954545454544,4617.307692307692,5.548461625837719,0.7717391304347826,0.8042077855127958,1.0420720601010875,18890.313360594173
2019Q4,32986.77272727273,4457.576923076923,7.400157820384401,0.8043478260869565,0.8018891463583976,0.99694326304017,20177.255288444616
2020Q1,42253.876923076925,6313.192307692308,6.692949440426945,0.6373626373626373,0.693886429631276,1.088683880973209,22176.680787516765
2020Q2,52611.084615384614,8626.615384615385,6.098693667183849,0.6483516483516484,0.6294003075411445,0.9707699658685449,26026.429877439077
2020Q3,93250.75757575757,28290.653846153848,3.2961683417732366,0.717391304347826,0.6936296194825727,0.96687765139995,44545.70551155649
2020Q4,97299.87878787878,16481.423076923078,5.903609071483391,0.6521739130434783,0.6695684829163094,1.0266716738050077,38586.551081219615
2021Q1,136217.59375,20772.5,6.557592670598146,0.6222222222222222,0.6499105031546831,1.0444990229271693,46628.34363305783
2021Q2,154294.5076923077,18817.615384615383,8.199471853296217,0.6923076923076923,0.7117778972874526,1.0281236294152092,45037.2341564297
2021Q3,274500.0,41410.11538461538,6.6288151445717,0.7282608695652174,0.7167815002008773,0.984237283857921,70959.3882168525
2021Q4,294370.13636363635,40753.730769230766,7.223145729418397,0.42391304347826086,0.4266934245782305,1.0065588477230054,62808.557992384995
2022Q1,340289.03125,54049.769230769234,6.295846145005956,0.6444444444444445,0.6581709087643318,1.0212996860136183,63861.917747844534
2022Q2,382358.58461538464,54577.25,7.005823573290788,0.7362637362637363,0.724873646064221,0.9845298774902106,64688.15156424664
2022Q3,432414.98484848486,49654.42307692308,8.70848875192047,0.5108695652173914,0.5366126128627842,1.0503906464548114,68334.82004796888
2022Q4,414898.23076923075,57647.51851851852,7.1971568149277765,0.5434782608695652,0.6050133292454576,1.113224525811642,60768.915144685016
2023Q1,500755.9846153846,71612.12,6.992615001697822,0.8,0.8301996355195933,1.0377495443994915,71285.95390625973
2023Q2,564676.2461538462,78605.34615384616,7.183687545229601,0.8901098901098901,0.8791799736565564,0.9877207111450202,76056.402857928
2023Q3,627932.723076923,86223.22222222222,7.2826404174337,0.9130434782608695,0.9051419826431045,0.9913459809900669,78796.0134128167
2023Q4,524176.26923076925,87758.92592592593,5.972911173425334,0.7608695652173914,0.7555239096421371,0.9929742812439516,61801.085900255915
2024Q1,577573.8307692307,97158.84615384616,5.944634519996991,0.9010989010989011,0.9056541033461982,1.0050551634695615,65551.30036171601
2024Q2,644611.1230769231,91052.96153846153,7.079518471286999,0.6483516483516484,0.6342686573336397,0.9782787765654443,68601.48865839427
2024Q3,721581.1060606061,99688.76923076923,7.238338998751406,0.6086956521739131,0.6161817541211188,1.0122985960561235,72775.50230719287
2024Q4,815712.1515151515,120022.88461538461,6.796305172377044,0.4782608695652174,0.48250464259965503,1.0088733436174604,77206.87598528995
2025Q1,915399.046875,144823.11538461538,6.320807589616617,0.9222222222222223,0.9550661966735781,1.0356139482002653,81873.40867936966
2025Q2,979787.8,155372.46153846153,6.306058295648868,0.7472527472527473,0.7303999001289286,0.9774469251725368,81917.23232860806
2025Q3,1014351.196969697,158881.38461538462,6.384330042347053,0.7065217391304348,0.7089492017456199,1.0034357932399542,80255.19646000513
2025Q4,1120156.553030303,199335.61538461538,5.619450146272035,0.75,0.7810438873166526,1.0413918497555368,82997.85615520031
2026Q1,1634535.78125,315469.73076923075,5.18127611566537,0.7444444444444445,0.7692574806554647,1.033330944164057,112092.19853223188
2026Q2,1820617.946153846,346957.3846153846,5.247382032730244,0.8571428571428571,0.8256433883166137,0.963250619702716,113567.79546909638
