quarter,dd_rel,dd_rel_plc,composite_z,call,beat,trailing_mean_beat,outcome,called,correct,horizon
2020Q4,-1.0804271855718042,-1.324334708051853,-1.2023809468118287,tracking behind,0.08914723926380375,0.08442147988903664,above trend,True,0.0,d30
2021Q1,-0.9829595499347425,-1.4792197950518857,-1.2310896724933142,tracking behind,0.06746774193548388,0.08536663176399006,below trend,True,1.0,d30
2021Q2,-0.2907484788287655,-1.1621619863218975,-0.7264552325753315,in line,0.10164622641509435,0.08238348345923903,above trend,False,,d30
2021Q3,-0.09582049232721786,-0.7940599869543417,-0.4449402396407798,in line,0.09509311740890691,0.08513530388150407,above trend,False,,d30
2021Q4,0.14381258705765174,-0.4974127036266613,-0.1768000582845048,in line,0.12095532646048102,0.08638003057242943,above trend,False,,d30
2022Q1,-0.2690171257283262,-1.1370746099531042,-0.7030458678407152,in line,0.07884101040118852,0.08722983853685229,below trend,False,,d30
2022Q2,-0.11336460565161757,0.118702403014897,0.002668898681639713,in line,0.0744391534391533,0.08305106653191613,below trend,False,,d30
2022Q3,-2.1868788406969286,-4.407699269467203,-3.297289055082066,tracking behind,0.05954611650485431,0.08771521997106954,below trend,True,1.0,d30
2022Q4,-2.604185677379146,-3.802404741536174,-3.20329520945766,tracking behind,0.050109619686800944,0.08589199147862076,below trend,True,1.0,d30
2023Q1,-1.26698306271559,-1.2380159957998982,-1.252499529257744,tracking behind,0.02930341880341869,0.0810122890314954,below trend,True,1.0,d30
2023Q2,-1.1445367343519028,-1.2718816872941334,-1.2082092108230182,tracking behind,0.018920000000000048,0.07624174863998726,below trend,True,1.0,d30
2023Q3,-0.5592493036773343,-0.33702786751139485,-0.4481385855943646,in line,0.046913957934990425,0.06590097033810047,below trend,False,,d30
2023Q4,-0.7360427042475669,-0.47471976719425485,-0.6053812357209108,in line,0.04178268551236752,0.059878575403860906,below trend,False,,d30
2024Q1,-0.8586841614760589,-0.3118536650787615,-0.5852689132774102,in line,0.03778098471986424,0.04998199528534672,below trend,False,,d30
2024Q2,-1.5545757503508055,-0.5741689326912485,-1.064372341521027,tracking behind,0.03742604501607727,0.044849492075181185,below trend,True,1.0,d30
