quarter,feature,value,available_from,source
2018Q3,plc_rel_d60,0.03079241545839828,2018-08-30,npm (causal-imputed)
2018Q3,ctrl_abs_full,0.6257408045303166,2018-10-01,npm (causal-imputed)
2018Q3,dd_abs_full,1.3405326555773538,2018-10-01,npm (causal-imputed)
2018Q3,dd_rel_full,0.7147918510470372,2018-10-01,npm (causal-imputed)
2018Q3,dd_rel_wide_full,0.7008860333350846,2018-10-01,npm (causal-imputed)
2018Q3,plc_abs_full,0.6735121663219168,2018-10-01,npm (causal-imputed)
2018Q3,plc_rel_full,0.04777136179160024,2018-10-01,npm (causal-imputed)
2018Q4,ctrl_abs_d30,0.804545269849724,2018-10-31,npm (causal-imputed)
2018Q4,dd_abs_d30,1.3409846752711037,2018-10-31,npm (causal-imputed)
2018Q4,dd_rel_d30,0.5364394054213797,2018-10-31,npm (causal-imputed)
2018Q4,dd_rel_wide_d30,0.47356925929778626,2018-10-31,npm (causal-imputed)
2018Q4,plc_abs_d30,0.7361582617792166,2018-10-31,npm (causal-imputed)
2018Q4,plc_rel_d30,-0.06838700807050735,2018-10-31,npm (causal-imputed)
2018Q4,ctrl_abs_d45,0.7804003125758836,2018-11-15,npm (causal-imputed)
2018Q4,dd_abs_d45,1.480729899756522,2018-11-15,npm (causal-imputed)
2018Q4,dd_rel_d45,0.7003295871806383,2018-11-15,npm (causal-imputed)
2018Q4,dd_rel_wide_d45,0.6140797087528451,2018-11-15,npm (causal-imputed)
2018Q4,plc_abs_d45,0.6859077682979873,2018-11-15,npm (causal-imputed)
2018Q4,plc_rel_d45,-0.09449254427789633,2018-11-15,npm (causal-imputed)
2018Q4,ctrl_abs_d60,0.7477760419012647,2018-11-30,npm (causal-imputed)
2018Q4,dd_abs_d60,1.592452706935477,2018-11-30,npm (causal-imputed)
2018Q4,dd_rel_d60,0.8446766650342123,2018-11-30,npm (causal-imputed)
2018Q4,dd_rel_wide_d60,0.7424791806916566,2018-11-30,npm (causal-imputed)
2018Q4,plc_abs_d60,0.673516856723591,2018-11-30,npm (causal-imputed)
2018Q4,plc_rel_d60,-0.07425918517767371,2018-11-30,npm (causal-imputed)
2018Q4,ctrl_abs_full,0.6797399567021696,2019-01-01,npm (causal-imputed)
2018Q4,dd_abs_full,1.8225348510762664,2019-01-01,npm (causal-imputed)
2018Q4,dd_rel_full,1.1427948943740969,2019-01-01,npm (causal-imputed)
2018Q4,dd_rel_wide_full,1.0169256563634175,2019-01-01,npm (causal-imputed)
2018Q4,plc_abs_full,0.6555215637860528,2019-01-01,npm (causal-imputed)
2018Q4,plc_rel_full,-0.024218392916116827,2019-01-01,npm (causal-imputed)
2019Q1,ctrl_abs_d30,0.2644582722944335,2019-01-31,npm (causal-imputed)
2019Q1,dd_abs_d30,2.579228244955713,2019-01-31,npm (causal-imputed)
2019Q1,dd_rel_d30,2.3147699726612796,2019-01-31,npm (causal-imputed)
2019Q1,dd_rel_wide_d30,2.0447137854316555,2019-01-31,npm (causal-imputed)
2019Q1,plc_abs_d30,0.6874351185820551,2019-01-31,npm (causal-imputed)
2019Q1,plc_rel_d30,0.42297684628762156,2019-01-31,npm (causal-imputed)
2019Q1,ctrl_abs_d45,0.18773012890607355,2019-02-15,npm (causal-imputed)
2019Q1,dd_abs_d45,2.621539320634696,2019-02-15,npm (causal-imputed)
2019Q1,dd_rel_d45,2.4338091917286224,2019-02-15,npm (causal-imputed)
2019Q1,dd_rel_wide_d45,2.149061729459529,2019-02-15,npm (causal-imputed)
2019Q1,plc_abs_d45,0.6589969054332698,2019-02-15,npm (causal-imputed)
2019Q1,plc_rel_d45,0.4712667765271963,2019-02-15,npm (causal-imputed)
2019Q1,ctrl_abs_d60,0.06849698673008575,2019-03-02,npm (causal-imputed)
2019Q1,dd_abs_d60,2.5775653069793094,2019-03-02,npm (causal-imputed)
2019Q1,dd_rel_d60,2.5090683202492237,2019-03-02,npm (causal-imputed)
2019Q1,dd_rel_wide_d60,2.2046240551853806,2019-03-02,npm (causal-imputed)
2019Q1,plc_abs_d60,0.6444688798088052,2019-03-02,npm (causal-imputed)
2019Q1,plc_rel_d60,0.5759718930787194,2019-03-02,npm (causal-imputed)
2019Q1,ctrl_abs_full,0.11996483686053061,2019-04-01,npm (causal-imputed)
2019Q1,dd_abs_full,2.6133224736905643,2019-04-01,npm (causal-imputed)
2019Q1,dd_rel_full,2.4933576368300336,2019-04-01,npm (causal-imputed)
2019Q1,dd_rel_wide_full,2.1587178664761577,2019-04-01,npm (causal-imputed)
2019Q1,plc_abs_full,0.6034193723739243,2019-04-01,npm (causal-imputed)
2019Q1,plc_rel_full,0.4834545355133937,2019-04-01,npm (causal-imputed)
2019Q2,ctrl_abs_d30,0.2537982074484795,2019-05-01,npm (causal-imputed)
2019Q2,dd_abs_d30,2.645456868923551,2019-05-01,npm (causal-imputed)
2019Q2,dd_rel_d30,2.3916586614750717,2019-05-01,npm (causal-imputed)
2019Q2,dd_rel_wide_d30,1.9833552051675127,2019-05-01,npm (causal-imputed)
2019Q2,plc_abs_d30,0.5258732381944391,2019-05-01,npm (causal-imputed)
2019Q2,plc_rel_d30,0.2720750307459596,2019-05-01,npm (causal-imputed)
2019Q2,ctrl_abs_d45,0.18513157769252508,2019-05-16,npm (causal-imputed)
2019Q2,dd_abs_d45,2.6608310621974454,2019-05-16,npm (causal-imputed)
2019Q2,dd_rel_d45,2.4756994845049203,2019-05-16,npm (causal-imputed)
2019Q2,dd_rel_wide_d45,2.0595884578453916,2019-05-16,npm (causal-imputed)
