quarter,asof,rev_yoy,revenue_musd,known_from_reliable,ctrl_abs_d30,ctrl_abs_d45,dd_abs_d30,dd_abs_d45,dd_rel_d30,dd_rel_d45,dd_rel_wide_d30,dd_rel_wide_d45,plc_abs_d30,plc_abs_d45,plc_rel_d30,plc_rel_d45,guide_high_musd,guide_low_musd,guide_mid_musd,rev_yoy_lag1,rev_yoy_lag2,rev_musd_lag4,rev_yoy_lag4
2019Q3,2019-08-15,0.8769628382347183,95.864,True,0.18686645134795477,0.22098068401130533,2.4069970549106365,2.364882197646377,2.2201306035626818,2.143901513635072,1.622669041994893,1.5440848244745027,0.5172474004038463,0.5164113117204394,0.33038094905589155,0.2954306277091341,,,,,,,
2019Q4,2019-11-15,,113.644,True,-0.16786955900444944,-0.08934017249601389,1.987743407279149,1.9165760147681006,2.1556129662835986,2.0059161872641145,1.475418212995839,1.331632405727591,0.35505515286337896,0.36802931433647856,0.5229247118678284,0.45736948683249246,103.0,101.0,102.0,0.8769628382347183,,,
2020Q1,2020-02-15,0.8736331192005711,131.248,True,0.40165169381075394,0.41497206502305595,1.5046538654819344,1.496520683515282,1.1030021716711804,1.081548618492226,0.5768406387419276,0.5492271568101597,0.3219337057432483,0.33533802990580597,-0.07971798806750563,-0.07963403511724998,119.0,117.0,118.0,,0.8769628382347183,,
2020Q2,2020-05-16,0.6823916752781716,140.012,True,0.6728234018201338,0.7034847362390444,1.5314436030355623,1.5000700595753163,0.8586202012154285,0.7965853233362719,0.46915902492616546,0.4031930679944917,0.4914978424321603,0.4698620066102954,-0.18132555938797346,-0.23362272962874897,136.0,134.0,135.0,0.8736331192005711,,,
2020Q3,2020-08-15,0.6134836852207293,154.675,True,0.7413052758719356,0.7011535847253718,1.4303793668534688,1.5104059055035801,0.6890740909815332,0.8092523207782083,0.338408275645552,0.43018746242565165,0.5231505619877801,0.5167716784537824,-0.21815471388415553,-0.18438190627158946,145.0,143.0,144.0,0.6823916752781716,0.8736331192005711,95.864,0.8769628382347183
2020Q4,2020-11-15,0.5621678223223399,177.531,True,0.637640413351118,0.5800527118717032,1.4813670121418898,1.4035606266350307,0.8437265987907718,0.8235079147633275,0.431466690286884,0.4139085443249275,0.623181427954087,0.604304142186816,-0.014458985397030943,0.0242514303151129,164.0,162.0,163.0,0.6134836852207293,0.6823916752781716,113.644,
2021Q1,2021-02-15,0.5127773375594296,198.549,True,0.4532456006379597,0.4488132458341063,1.3484094706103882,1.3275449019325212,0.8951638699724285,0.8787316560984149,0.25490433188009654,0.22704037232340646,0.6353707474636465,0.6292689453289526,0.1821251468256868,0.1804556994948463,187.0,185.0,186.0,0.5621678223223399,0.6134836852207293,131.248,0.8736331192005711
2021Q2,2021-05-16,0.6680641659286346,233.549,True,-0.021108511733441304,-0.045813711891861786,1.2799239121427082,1.2436375982522119,1.3010324238761495,1.2894513101440737,0.2835424831396356,0.26557540369960897,0.5771029524384126,0.5727002689693386,0.5982114641718539,0.6185139808612004,213.0,211.0,212.0,0.5127773375594296,0.5621678223223399,140.012,0.6823916752781716
2021Q3,2021-08-15,0.7487506061095845,270.488,True,-0.008929067422023707,-0.025195156992911194,1.1923283518499623,1.1652401163363564,1.201257419271986,1.1904352733292676,0.3386249848119238,0.33956540171882565,0.504093869526681,0.48870076220163483,0.5130229369487047,0.513895919194546,248.0,246.0,247.0,0.6680641659286346,0.5127773375594296,154.675,0.6134836852207293
2021Q4,2021-11-15,0.8374143107400962,326.198,True,-0.01998412350126344,0.019171680705101224,1.1928457463627264,1.2633283389972636,1.2128298698639899,1.2441566582921624,0.49793438713096627,0.5476261042936326,0.43150470504740923,0.4389967283639322,0.45148882854867267,0.419825047658831,292.0,290.0,291.0,0.7487506061095845,0.6680641659286346,177.531,0.5621678223223399
2022Q1,2022-02-15,0.828415151927232,363.03,True,0.20855435704427094,0.24385205497751805,1.2934254856958844,1.3055966560969434,1.0848711286516135,1.0617446011194254,0.679996177853976,0.6828704817064999,0.5782839152198598,0.5993405616937402,0.36972955817558883,0.3554885067162221,339.0,334.0,336.5,0.8374143107400962,0.7487506061095845,198.549,0.5127773375594296
2022Q2,2022-05-16,0.7389841104008152,406.138,True,0.2820732394093035,0.28381875789680144,1.1984589426566945,1.1968743477934343,0.916385703247391,0.9130555898966328,0.5671788041863888,0.6048549126248002,0.449321717648985,0.43626805325683193,0.16724847823968148,0.1524492953600305,380.0,376.0,378.0,0.828415151927232,0.8374143107400962,233.549,0.6680641659286346
2022Q3,2022-08-15,0.6138719647452013,436.533,True,0.28881296579069904,0.2967610873701858,0.8571169198423867,0.8005321702750656,0.5683039540516877,0.5037710829048798,0.25381577522917453,0.19665250825084968,0.4693435852947907,0.4835547916246412,0.18053061950409166,0.1867937042544554,414.0,410.0,412.0,0.7389841104008152,0.828415151927232,270.488,0.7487506061095845
2022Q4,2022-11-15,0.4390002391185721,469.399,True,0.22843331888054053,0.29201695796386673,0.48847448013032846,0.5098590650291435,0.26004116124978793,0.21784210706527674,-0.007203880697748133,-0.041003872033382294,0.4415275512251178,0.4778819717410663,0.21309423234457725,0.18586501377719955,449.0,445.0,447.0,0.6138719647452013,0.7389841104008152,326.198,0.8374143107400962
2023Q1,2023-02-15,0.3269261493540478,481.714,True,0.13666396932837444,0.11348172864493122,0.4279323156585413,0.41790652234227466,0.29126834633016685,0.30442479369734343,-0.04718835030894297,-0.05229931784600694,0.3308537541925034,0.3238787035959696,0.19418978486412897,0.21039697495103837,,,,,0.6138719647452013,363.03,0.828415151927232
2023Q2,2023-05-16,0.2544012133806737,509.46,True,0.07621360954175138,0.11544364369136417,0.3156035541198854,0.37071202767871725,0.239389944578134,0.2552683839873531,0.09431214384006026,0.0981310221593894,0.3100189654194132,0.3418994633868131,0.23380535587766182,0.22645581969544892,502.0,498.0,500.0,0.3269261493540478,0.4390002391185721,406.138,0.7389841104008152
2023Q3,2023-08-15,0.2542831813402424,547.536,True,0.1005852406047083,0.14524353177889715,0.35948441310360835,0.37170421156412914,0.25889917249890004,0.226460679785232,0.06228860807613046,0.02897241664731709,0.27014419901578535,0.2887829169262659,0.16955895841107704,0.14353938514736875,525.0,521.0,523.0,0.2544012133806737,0.3269261493540478,436.533,0.6138719647452013
2023Q4,2023-11-15,0.2561786454594066,589.649,True,0.1574723992632805,0.09137114192467166,0.29890074190772964,0.25438703329001555,0.14142834264444915,0.1630158913653439,-0.1389086583599628,-0.14254083638893889,0.28288219661420655,0.24672284424345747,0.12540979735092606,0.1553517023187858,568.0,564.0,566.0,0.2542831813402424,0.2544012133806737,469.399,0.4390002391185721
2024Q1,2024-02-15,0.2689126743254295,611.253,True,0.15777502671750554,0.1383574214395047,0.266837408226543,0.22283697935192848,0.10906238150903746,0.08447955791242379,-0.2177317139772832,-0.22891445944639344,0.21351691489616442,0.18278075471673105,0.05574188817865888,0.04442333327722636,591.0,587.0,589.0,0.2561786454594066,0.2542831813402424,481.714,0.3269261493540478
2024Q2,2024-05-16,0.2665940407490283,645.279,True,0.2702340612937437,0.23411984448613055,0.21932119611969014,0.18770562570226446,-0.05091286517405358,-0.04641421878386609,-0.2900775636269053,-0.29359968730338437,0.23119847823602768,0.19932240479894858,-0.03903558305771604,-0.034797439687181964,624.0,620.0,622.0,0.2689126743254295,0.2561786454594066,509.46,0.2544012133806737
2024Q3,2024-08-15,0.2602203325443442,690.016,True,0.13062195667838772,0.09727463929631419,0.21439283282649413,0.20372003134249184,0.08377087614810641,0.10644539204617764,-0.2528640398363642,-0.24792255685909126,0.21247172774329215,0.18615326220647788,0.08184977106490443,0.08887862291016368,664.0,660.0,662.0,0.2665940407490283,0.2689126743254295,547.536,0.2542831813402424
2024Q4,2024-11-15,0.2511290615264334,737.727,True,0.1400131065942336,0.14601701706771486,0.40401996580662214,0.4153523000680259,0.26400685921238853,0.26933528300031107,-0.12855167436077153,-0.10981017797388759,0.17687029881518157,0.17755989652292214,0.036857192220947965,0.031542879455207284,713.0,709.0,711.0,0.2602203325443442,0.2665940407490283,589.649,0.2561786454594066
2025Q1,2025-02-15,0.2458883637380919,761.553,True,0.025219885127661712,0.044434383555957524,0.38303395587614375,0.39856119320124606,0.35781407074848204,0.35412680964528853,-0.07759553324035195,-0.08108041075300321,0.03429520520158391,0.05429093284215014,0.0090753200739222,0.009856549286192617,741.0,737.0,739.0,0.2511290615264334,0.2602203325443442,611.253,0.2689126743254295
2025Q2,2025-05-16,0.2812442369889614,826.76,True,0.12049193574118,0.1142531556790285,0.40238603886270496,0.41195859381198474,0.28189410312152496,0.29770543813295625,-0.13646643895039645,-0.1363804426959092,0.09932837333263222,0.11505892854154354,-0.021163562408547776,0.0008057728625150418,791.0,787.0,789.0,0.2458883637380919,0.2511290615264334,645.279,0.2665940407490283
2025Q3,2025-08-15,0.2835224110745258,885.651,True,0.13804085973761637,0.136865274040753,0.40867065358625965,0.38680224221196724,0.2706297938486433,0.24993696817121425,-0.1496800118646462,-0.16223297950846316,0.22747493942365438,0.1977196962762875,0.089434079686038,0.0608544222355345,851.0,847.0,849.0,0.2812442369889614,0.2458883637380919,690.016,0.2602203325443442
2025Q4,2025-11-15,0.2920687462977498,953.194,True,0.142952642325179,0.14968790504285323,0.3378320027631929,0.3632689250067571,0.1948793604380139,0.21358101996390388,-0.16579588372919218,-0.1530890703291341,0.14256985439836,0.1381759814058725,-0.000382787926819006,-0.011511923636980725,916.0,912.0,914.0,0.2835224110745258,0.2812442369889614,737.727,0.2511290615264334
2026Q1,2026-02-15,0.3215442654680633,1006.426,True,0.18727360561802264,0.17344699290564414,0.5882145578611926,0.5808473959709879,0.40094095224316995,0.40740040306534375,-0.03153108290878848,-0.027071079490866623,0.37204799374009667,0.37394084746558676,0.18477438812207403,0.20049385455994262,961.0,951.0,956.0,0.2920687462977498,0.2835224110745258,761.553,0.2458883637380919
2026Q2,2026-05-16,0.3564444336929702,1121.454,True,0.2877516686163304,0.29462732527260194,0.7226125858762629,0.7377498370925508,0.4348609172599325,0.4431225118199489,-0.2152241468237115,-0.24813132653506997,0.5060579480994392,0.5161215009333553,0.21830627948310877,0.22149417566075336,1080.0,1070.0,1075.0,0.3215442654680633,0.2920687462977498,826.76,0.2812442369889614
