target,candidate,window,role,feature,n_oos,rmse,rmse_base,rmse_ratio,mape_%,hit,hit_base
rev_yoy,dd_rel_plc,d30,candidate,dd_rel_plc_d30,13,0.032313684728855985,0.030940058486234566,1.044396368650452,8.979223110614514,0.5384615384615384,0.38461538461538464
rev_yoy,dd_rel_plc,d30,control,ctrl_rel_plc_d30,13,0.04735205642584041,0.030940058486234566,1.5304449552643105,15.247581761490888,0.6153846153846154,0.38461538461538464
rev_yoy,dd_rel_plc,d45,candidate,dd_rel_plc_d45,13,0.033337679499962365,0.030940058486234566,1.0774924525367175,9.142879186439194,0.3076923076923077,0.38461538461538464
rev_yoy,dd_rel_plc,d45,control,ctrl_rel_plc_d45,13,0.050185843834593485,0.030940058486234566,1.6220345497058932,15.89367346673353,0.6153846153846154,0.38461538461538464
rev_yoy,dd_rel_plc,d60,candidate,dd_rel_plc_d60,13,0.033762589607870805,0.030940058486234566,1.0912257849445244,9.241182843760253,0.3076923076923077,0.38461538461538464
rev_yoy,dd_rel_plc,d60,control,ctrl_rel_plc_d60,13,0.05103302910552821,0.030940058486234566,1.6494160516287693,15.874162051386175,0.6153846153846154,0.38461538461538464
rev_yoy,dd_rel_plc,full,candidate,dd_rel_plc_full,13,0.03465906532114196,0.030940058486234566,1.1202003815397443,10.33465810373684,0.46153846153846156,0.38461538461538464
rev_yoy,dd_rel_plc,full,control,ctrl_rel_plc_full,13,0.05488118015710495,0.030940058486234566,1.7737904465022891,16.53436279697234,0.6923076923076923,0.38461538461538464
rev_yoy,dd_rel,d30,candidate,dd_rel_d30,13,0.04202194987238088,0.030940058486234566,1.3581729294751244,12.279672446116068,0.5384615384615384,0.38461538461538464
rev_yoy,dd_rel,d30,control,plc_rel_d30,13,0.04735205642584041,0.030940058486234566,1.5304449552643105,15.247581761490888,0.6153846153846154,0.38461538461538464
rev_yoy,dd_rel,d45,candidate,dd_rel_d45,13,0.04238486995221573,0.030940058486234566,1.3699027094946519,12.940408390140146,0.5384615384615384,0.38461538461538464
rev_yoy,dd_rel,d45,control,plc_rel_d45,13,0.050185843834593485,0.030940058486234566,1.6220345497058932,15.89367346673353,0.6153846153846154,0.38461538461538464
rev_yoy,dd_rel,d60,candidate,dd_rel_d60,13,0.04567606646826856,0.030940058486234566,1.4762760221862585,14.156045542528528,0.5384615384615384,0.38461538461538464
rev_yoy,dd_rel,d60,control,plc_rel_d60,13,0.05103302910552821,0.030940058486234566,1.6494160516287693,15.874162051386175,0.6153846153846154,0.38461538461538464
rev_yoy,dd_rel,full,candidate,dd_rel_full,13,0.05295308294849122,0.030940058486234566,1.711473266026643,15.628948173660032,0.5384615384615384,0.38461538461538464
rev_yoy,dd_rel,full,control,plc_rel_full,13,0.05488118015710495,0.030940058486234566,1.7737904465022891,16.53436279697234,0.6923076923076923,0.38461538461538464
rev_yoy,dd_abs,d30,candidate,dd_abs_d30,13,0.0226953702876659,0.030940058486234566,0.7335270648490603,7.244413198362838,0.5384615384615384,0.38461538461538464
rev_yoy,dd_abs,d30,control,plc_abs_d30,13,0.03950526686323294,0.030940058486234566,1.2768323266360047,12.347770174672885,0.6153846153846154,0.38461538461538464
rev_yoy,dd_abs,d45,candidate,dd_abs_d45,13,0.026600012797835703,0.030940058486234566,0.859727295269019,8.555614720383685,0.5384615384615384,0.38461538461538464
rev_yoy,dd_abs,d45,control,plc_abs_d45,13,0.0396939306634637,0.030940058486234566,1.2829300462093112,12.661226077184528,0.6153846153846154,0.38461538461538464
rev_yoy,dd_abs,d60,candidate,dd_abs_d60,13,0.02768354922267353,0.030940058486234566,0.894747798715058,9.27579514927483,0.5384615384615384,0.38461538461538464
rev_yoy,dd_abs,d60,control,plc_abs_d60,13,0.04052683391114896,0.030940058486234566,1.3098499451505436,12.691461051659084,0.6153846153846154,0.38461538461538464
rev_yoy,dd_abs,full,candidate,dd_abs_full,13,0.03016538895163214,0.030940058486234566,0.9749622472450373,9.907941477308661,0.5384615384615384,0.38461538461538464
rev_yoy,dd_abs,full,control,plc_abs_full,13,0.04228328489362066,0.030940058486234566,1.366619423568083,12.911303057587942,0.6153846153846154,0.38461538461538464
beat_vs_guide,dd_rel_plc,d30,candidate,dd_rel_plc_d30,14,0.016194636811065886,0.018329117050460936,0.8835470233771369,38.0062129950702,0.35714285714285715,0.2857142857142857
beat_vs_guide,dd_rel_plc,d30,control,ctrl_rel_plc_d30,14,0.018937687136900885,0.018329117050460936,1.03320236783717,44.33830263650114,0.2857142857142857,0.2857142857142857
beat_vs_guide,dd_rel_plc,d45,candidate,dd_rel_plc_d45,14,0.01615576746132565,0.018329117050460936,0.8814263893262315,38.22819753351326,0.35714285714285715,0.2857142857142857
beat_vs_guide,dd_rel_plc,d45,control,ctrl_rel_plc_d45,14,0.01877888347888796,0.018329117050460936,1.024538357586391,43.29731607315735,0.2857142857142857,0.2857142857142857
beat_vs_guide,dd_rel_plc,d60,candidate,dd_rel_plc_d60,14,0.016092708575543714,0.018329117050460936,0.8779860225257833,38.188579962181045,0.35714285714285715,0.2857142857142857
beat_vs_guide,dd_rel_plc,d60,control,ctrl_rel_plc_d60,14,0.018166386857042884,0.018329117050460936,0.9911217658237411,41.74902009433957,0.2857142857142857,0.2857142857142857
beat_vs_guide,dd_rel_plc,full,candidate,dd_rel_plc_full,14,0.016458090086113746,0.018329117050460936,0.8979205076165883,39.377238514215854,0.35714285714285715,0.2857142857142857
beat_vs_guide,dd_rel_plc,full,control,ctrl_rel_plc_full,14,0.017498998330124374,0.018329117050460936,0.9547103814083785,39.060421265432794,0.35714285714285715,0.2857142857142857
beat_vs_guide,dd_rel,d30,candidate,dd_rel_d30,14,0.01599911486035654,0.018329117050460936,0.8728797364493998,38.96025117762411,0.6428571428571429,0.2857142857142857
beat_vs_guide,dd_rel,d30,control,plc_rel_d30,14,0.018937687136900885,0.018329117050460936,1.03320236783717,44.33830263650114,0.2857142857142857,0.2857142857142857
beat_vs_guide,dd_rel,d45,candidate,dd_rel_d45,14,0.015373413380621023,0.018329117050460936,0.8387427140269376,36.25157399192206,0.6428571428571429,0.2857142857142857
beat_vs_guide,dd_rel,d45,control,plc_rel_d45,14,0.01877888347888796,0.018329117050460936,1.024538357586391,43.29731607315735,0.2857142857142857,0.2857142857142857
beat_vs_guide,dd_rel,d60,candidate,dd_rel_d60,14,0.01488888433816252,0.018329117050460936,0.8123077776836009,36.33130657952271,0.6428571428571429,0.2857142857142857
beat_vs_guide,dd_rel,d60,control,plc_rel_d60,14,0.018166386857042884,0.018329117050460936,0.9911217658237411,41.74902009433957,0.2857142857142857,0.2857142857142857
beat_vs_guide,dd_rel,full,candidate,dd_rel_full,14,0.015368085733204544,0.018329117050460936,0.8384520482298994,38.41348524085132,0.6428571428571429,0.2857142857142857
beat_vs_guide,dd_rel,full,control,plc_rel_full,14,0.017498998330124374,0.018329117050460936,0.9547103814083785,39.060421265432794,0.35714285714285715,0.2857142857142857
beat_vs_guide,dd_abs,d30,candidate,dd_abs_d30,14,0.013124848236813256,0.018329117050460936,0.7160654929901926,30.7358787075321,0.5714285714285714,0.2857142857142857
beat_vs_guide,dd_abs,d30,control,plc_abs_d30,14,0.018998684866915014,0.018329117050460936,1.036530282097644,39.35715012741312,0.5,0.2857142857142857
beat_vs_guide,dd_abs,d45,candidate,dd_abs_d45,14,0.013158489779431978,0.018329117050460936,0.7179009083310465,30.684726867466633,0.5714285714285714,0.2857142857142857
beat_vs_guide,dd_abs,d45,control,plc_abs_d45,14,0.019241674523030015,0.018329117050460936,1.0497873121796737,38.58840723144028,0.6428571428571429,0.2857142857142857
beat_vs_guide,dd_abs,d60,candidate,dd_abs_d60,14,0.01276705164955822,0.018329117050460936,0.6965448261588333,30.828299316721054,0.5714285714285714,0.2857142857142857
beat_vs_guide,dd_abs,d60,control,plc_abs_d60,14,0.01883960791333173,0.018329117050460936,1.0278513613866609,37.38581093070047,0.6428571428571429,0.2857142857142857
beat_vs_guide,dd_abs,full,candidate,dd_abs_full,14,0.013161366588412356,0.018329117050460936,0.7180578612804144,31.92263632797931,0.5714285714285714,0.2857142857142857
beat_vs_guide,dd_abs,full,control,plc_abs_full,14,0.016435237163464376,0.018329117050460936,0.8966736978228347,34.17308167115379,0.7142857142857143,0.2857142857142857
