quarter,actual_%,pred_%,residual_pp
2023Q2,25.440121338067367,32.497051327379765,-7.056929989312399
2023Q3,25.42831813402424,27.70310778035716,-2.27478964633292
2023Q4,25.617864545940662,27.79986188265959,-2.1819973367189327
2024Q1,26.891267432542946,28.383105997141268,-1.491838564598319
2024Q2,26.65940407490283,27.565733143085367,-0.9063290681825376
2024Q3,26.02203325443442,25.768447925206807,0.25358532922761245
2024Q4,25.112906152643337,25.170652240629,-0.05774608798566061
2025Q1,24.58883637380919,25.312598050088187,-0.7237616762789972
2025Q2,28.124423698896138,26.75479401511469,1.3696296837814481
2025Q3,28.35224110745258,27.99594710626876,0.35629400118382115
2025Q4,29.20687462977498,28.825774878411337,0.38109975136364493
2026Q1,32.15442654680633,30.547147424673682,1.6072791221326488
2026Q2,35.64444336929702,35.46252848107838,0.18191488821863722
