target,candidate,horizon,n,corr,partial_corr_given_ar1,control_partial_corr,oos_rmse_ratio_vs_ar1,control_rmse_ratio,oos_hit,ar1_hit,n_oos
rev_yoy,dd_rel_plc,d30,27,0.7422027046228588,0.36974176547608356,-0.6410498940529742,1.044396368650452,1.5304449552643105,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_rel_plc,d45,27,0.7355296874017733,0.3763276340632859,-0.659249040558887,1.0774924525367175,1.6220345497058932,0.3076923076923077,0.38461538461538464,13
rev_yoy,dd_rel_plc,d60,27,0.7281601407282976,0.3887381741943276,-0.6441955611451546,1.0912257849445244,1.6494160516287693,0.3076923076923077,0.38461538461538464,13
rev_yoy,dd_rel_plc,full,27,0.7203104176119296,0.3973182951145563,-0.6502625982592714,1.1202003815397443,1.7737904465022891,0.46153846153846156,0.38461538461538464,13
rev_yoy,dd_rel,d30,27,0.8113263922079336,0.8278332830237146,0.6410498940529742,1.3581729294751244,1.5304449552643105,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_rel,d45,27,0.8057546625881858,0.8374543047584356,0.659249040558887,1.3699027094946519,1.6220345497058932,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_rel,d60,27,0.7982231874321217,0.8188337666573522,0.6441955611451546,1.4762760221862585,1.6494160516287693,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_rel,full,27,0.7817853894472974,0.786709443305941,0.6502625982592714,1.711473266026643,1.7737904465022891,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_abs,d30,27,0.8430431804982915,0.44646015448778875,0.23781554651120163,0.7335270648490603,1.2768323266360047,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_abs,d45,27,0.8447368190249088,0.45601137614928666,0.21866659558919968,0.859727295269019,1.2829300462093112,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_abs,d60,27,0.8437628352769327,0.47727626708551596,0.23680326585686812,0.894747798715058,1.3098499451505436,0.5384615384615384,0.38461538461538464,13
rev_yoy,dd_abs,full,27,0.8350348065328388,0.46898926281552444,0.2939605713454005,0.9749622472450373,1.366619423568083,0.5384615384615384,0.38461538461538464,13
beat_vs_guide,dd_rel_plc,d30,27,0.714263323326087,0.39506248774249186,-0.5782681259573745,1.064612100724762,0.9660468849600478,0.5,0.6428571428571429,14
beat_vs_guide,dd_rel_plc,d45,27,0.7113320614330433,0.3972119522466929,-0.6047751069147468,1.0689633759719945,0.9446137706981584,0.5,0.6428571428571429,14
beat_vs_guide,dd_rel_plc,d60,27,0.7115169628943666,0.40910227587199904,-0.6042867989088949,1.059687196456112,0.9118208560350801,0.5,0.6428571428571429,14
beat_vs_guide,dd_rel_plc,full,27,0.7127525687863826,0.4162556979408797,-0.6220103965882701,1.0386015954530137,0.885592778042929,0.6428571428571429,0.6428571428571429,14
beat_vs_guide,dd_rel,d30,27,0.8202085958612068,0.6501496415997446,0.5782681259573745,0.9961215037375066,0.9660468849600478,0.7142857142857143,0.6428571428571429,14
beat_vs_guide,dd_rel,d45,27,0.834391151978118,0.6831219120118097,0.6047751069147468,0.9704737686286011,0.9446137706981584,0.7142857142857143,0.6428571428571429,14
beat_vs_guide,dd_rel,d60,27,0.8378308143757196,0.6971859461679708,0.6042867989088949,0.9355400147774812,0.9118208560350801,0.7142857142857143,0.6428571428571429,14
beat_vs_guide,dd_rel,full,27,0.8431468071445225,0.7138235304095771,0.6220103965882701,0.8885044154892515,0.885592778042929,0.7142857142857143,0.6428571428571429,14
beat_vs_guide,dd_abs,d30,27,0.7874630484538637,0.49679286069917555,0.19756250947645215,0.8680543499656873,1.2990398201523425,0.5714285714285714,0.6428571428571429,14
beat_vs_guide,dd_abs,d45,27,0.7889525566288982,0.5003102030395024,0.1874979506205529,0.882764014156733,1.3732266130273147,0.5714285714285714,0.6428571428571429,14
beat_vs_guide,dd_abs,d60,27,0.796785468827877,0.5271104503104764,0.2208671265738148,0.855289189323906,1.3794501450055106,0.5714285714285714,0.6428571428571429,14
beat_vs_guide,dd_abs,full,27,0.7947162389479144,0.5275641640356917,0.282302266452612,0.8364538802775269,1.1807413938718267,0.5714285714285714,0.6428571428571429,14
