quarter,rev_yoy,cust_yoy,rpo_yoy,billings_yoy
2019Q3,0.8769628382347183,,,
2019Q4,,,,
2020Q1,0.8736331192005711,,,
2020Q2,0.6823916752781716,,,
2020Q3,0.6134836852207293,0.5226960110041265,,
2020Q4,0.5621678223223399,0.46037296037296027,,
2021Q1,0.5127773375594296,0.49687499999999996,,
2021Q2,0.6680641659286346,0.5862068965517242,,
2021Q3,0.7487506061095845,0.6260162601626016,,0.9811939379162546
2021Q4,0.8374143107400962,0.6041500399042299,0.8774475927205714,0.8593995039935811
2022Q1,0.828415151927232,0.5657620041753653,,1.0257846767691952
2022Q2,0.7389841104008152,0.5031055900621118,,0.4703905611008099
2022Q3,0.6138719647452013,0.4444444444444444,,0.5090405049598903
2022Q4,0.4390002391185721,0.3830845771144278,0.2971779141104294,0.3170353770751453
2023Q1,0.3269261493540478,0.2933333333333332,0.32684462058514985,0.14821959757981285
2023Q2,0.2544012133806737,0.23553719008264462,0.4210347174948945,0.30764584030747466
2023Q3,0.2542831813402424,0.2038461538461538,0.5368756641870351,0.3017016591659747
2023Q4,0.2561786454594066,0.14748201438848918,0.7398789254634885,0.345177504328239
2024Q1,0.2689126743254295,0.1477663230240549,0.5211279978915928,0.21009593072779276
2024Q2,0.2665940407490283,0.13377926421404673,0.4310578842315369,0.2842882687973145
2024Q3,0.2602203325443442,0.11501597444089451,0.2597151154750381,0.13535200655524715
2024Q4,0.2511290615264334,0.1316614420062696,0.2357834076329237,0.2566548895706964
2025Q1,0.2458883637380919,0.12874251497005984,0.33352584464337287,0.20992664728070642
2025Q2,0.2812442369889614,0.13569321533923295,0.35338094175407275,0.2774896024579414
2025Q3,0.2835224110745258,0.16332378223495692,0.5301350312877373,0.2962419750433103
2025Q4,0.2920687462977498,0.19390581717451516,0.522678280761955,0.3350208414781206
2026Q1,0.3215442654680633,0.2068965517241379,0.5090515374621047,0.37239033732690285
2026Q2,0.3564444336929702,0.22597402597402594,0.43103306125814167,0.3807734407354526
