window,n,mean_%,sd_pp,slope_pp_per_qtr,slope_p,spearman_rho,spearman_p
full sample,27,6.02724878779347,2.8764809006212633,-0.24733847899363814,8.788181674069045e-05,-0.5677655677655677,0.002008117382799334
last 16 quarters,16,4.138008986399866,0.9760777902572312,0.016398059146527366,0.7684107817349158,0.12352941176470587,0.6485420669723406
last 12 quarters,12,4.201685690240872,0.5781752458207543,0.04613009832853174,0.36458058788017383,0.4055944055944056,0.19083587400450036
last 8 quarters (the rule's window),8,4.253732620570064,0.6573687466133038,0.1362291281581176,0.19907894587202898,0.6904761904761906,0.05799031816457273
