target,candidate,window,role,n_oos,rmse_ratio,boot_lo,boot_hi,ci_covers_1,dm_p,hit,hit_base
cust_yoy,dd_rel_plc,d30,candidate,11,1.1847954391766886,0.8500263999882608,1.8804085445206207,True,0.3683866952959356,0.45454545454545453,0.5454545454545454
cust_yoy,dd_rel_plc,d30,control,11,1.6811750108577623,1.243487957616928,2.495962767265763,False,0.030853746747748323,0.5454545454545454,0.5454545454545454
cust_yoy,dd_rel_plc,d45,candidate,11,1.1575903456419017,0.833111950624289,1.8285298780513484,True,0.4174198614130964,0.45454545454545453,0.5454545454545454
cust_yoy,dd_rel_plc,d45,control,11,1.7611856290646535,1.3269604180758745,2.54781448284355,False,0.02508014190073271,0.5454545454545454,0.5454545454545454
cust_yoy,dd_rel_plc,d60,candidate,11,1.1608954965134197,0.8224610099872738,1.88330363667975,True,0.44010005485153036,0.45454545454545453,0.5454545454545454
cust_yoy,dd_rel_plc,d60,control,11,1.7778487657926476,1.2851603746251468,2.5683316354712455,False,0.03915398194390973,0.5454545454545454,0.5454545454545454
cust_yoy,dd_rel_plc,full,candidate,11,1.1969222758504074,0.8551094604953942,1.8989377141336523,True,0.3288180286434641,0.45454545454545453,0.5454545454545454
cust_yoy,dd_rel_plc,full,control,11,1.8324967268339383,1.3423255389481217,2.6470295604845213,False,0.03526210519557038,0.6363636363636364,0.5454545454545454
cust_yoy,dd_rel,d30,candidate,11,1.2419691155303842,0.797593804743598,2.143396686996666,True,0.39400223850816163,0.7272727272727273,0.5454545454545454
cust_yoy,dd_rel,d30,control,11,1.6811750108577623,1.243487957616928,2.495962767265763,False,0.030853746747748323,0.5454545454545454,0.5454545454545454
cust_yoy,dd_rel,d45,candidate,11,1.2360004668021733,0.8466393028463791,2.0087458492315693,True,0.3180519697518911,0.6363636363636364,0.5454545454545454
cust_yoy,dd_rel,d45,control,11,1.7611856290646535,1.3269604180758745,2.54781448284355,False,0.02508014190073271,0.5454545454545454,0.5454545454545454
cust_yoy,dd_rel,d60,candidate,11,1.2437979677611575,0.85431693076644,2.024605860670661,True,0.302549011895924,0.6363636363636364,0.5454545454545454
cust_yoy,dd_rel,d60,control,11,1.7778487657926476,1.2851603746251468,2.5683316354712455,False,0.03915398194390973,0.5454545454545454,0.5454545454545454
