target,baseline,n_oos,min_detectable_rmse_ratio,power@0.95,power@0.90,power@0.85,power@0.80,power@0.70,power@0.60,power@0.50,power@0.40
rev_yoy,guidance + auto-window beat,13,,6%,15%,23%,28%,30%,32%,32%,32%
beat_vs_guide,random walk,14,,10%,24%,50%,57%,75%,73%,77%,77%
